Curve_date,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23
2012-01-01,27684,28976,26490,22814,17300,10688,7150,5734,5636,7472,10608,13446,16334,18172,18546,18260,18102,18724,21064,19852,21022,15868,14654,15318
2012-01-02,23312,16670,11758,8008,6650,5550,7872,9564,13578,20206,25060,30232,35328,36804,39560,39096,37794,39482,41846,37964,32050,30196,30494,21692
2012-01-03,16416,10118,6484,4482,4590,7448,15316,18762,23721,21715,18042,17954,19009,19108,21056,21441,18486,22909,27758,26683,22990,21091,17893,13402
2012-01-04,9940,5797,3581,2419,2194,3362,10531,21153,26146,24634,20254,19584,20510,20207,21419,21797,18309,23303,28306,28702,24097,23046,21244,15504
2012-01-05,10429,6081,3968,2623,2232,3252,10393,20888,25835,23581,19866,18609,19657,20119,22351,21427,18009,22265,28254,28352,27039,26055,25121,20098
2012-01-06,13864,9522,6551,4146,3385,3711,10098,19591,24933,23665,20077,19880,20843,20224,21778,20153,16940,22006,27447,30739,28324,26386,27616,27557
2012-01-07,26010,22223,18432,14008,8873,3883,4206,6581,9438,14111,16917,18963,20953,21651,21544,21808,20348,22784,26330,29250,26169,24805,28340,31006
2012-01-08,28227,25198,21947,16865,9932,4172,3575,5054,8178,11974,16902,19211,22367,22537,21587,20888,21372,21748,22874,20184,19545,17016,15016,11091
2012-01-09,7773,4835,3139,2270,2334,3820,10810,19916,25471,22679,18352,17906,18659,18012,18970,19660,17834,22306,27091,26288,23128,21002,18839,14524
2012-01-10,8982,5468,3381,2425,2215,3290,10612,20629,26352,24483,19813,19035,19814,19569,21800,20931,18062,22608,27514,27396,25798,25073,22323,15987
2012-01-11,10365,6607,4125,2692,2524,3572,10808,20700,26087,24467,20089,19131,20084,19938,21459,21470,17938,22482,28073,29380,26991,25613,26684,21224
2012-01-12,13671,7944,4994,3246,2459,4064,12261,21527,26150,24803,20336,21134,21484,19903,21833,21586,17537,22301,27934,29045,27444,26710,25961,21582
2012-01-13,15882,11396,6893,4700,3596,3970,10670,20489,25947,24834,21591,21366,22963,23303,25135,23059,18783,22937,29059,32089,30704,28598,29086,29134
2012-01-14,26924,22466,18498,14567,9174,4077,4612,6250,10062,14562,18181,20334,23376,24484,23108,23706,21782,24338,27000,29679,27382,25302,28077,30574
2012-01-15,28634,24950,21363,17146,10365,4360,3762,5120,7029,11423,17048,21456,23701,24250,23918,24508,23936,23463,23867,22315,24048,20571,20411,19477
2012-01-16,14143,9465,6619,4727,3491,3026,5029,9043,13984,17011,17736,19174,21182,20992,21817,21951,20336,22688,25341,23306,19316,18271,17353,12668
2012-01-17,7958,4884,3183,2126,2048,4019,11465,21410,27108,24586,20643,22923,24236,21355,23341,21373,17992,21970,27689,29185,27030,23913,20950,15672
2012-01-18,10104,6084,4219,2960,2576,4015,10990,20834,25431,24256,21701,20972,22176,21123,22982,22389,18590,23595,29877,31009,29023,28316,26232,18937
2012-01-19,12048,7415,4580,3205,2499,3689,10911,21428,27009,24873,21193,21282,21758,20627,23033,21639,17559,20809,28626,30605,29075,28336,27085,23492
2012-01-20,17153,10721,7038,4829,3712,4202,11510,21093,26501,24967,22532,21882,23156,22779,24519,22630,19237,23460,30763,32683,31669,30735,30747,29863
2012-01-21,27625,23575,19247,13927,7777,3903,4270,6285,9727,13128,16031,18672,21199,21511,20869,21287,20051,23250,27246,29034,25789,24932,28653,29734
2012-01-22,27712,23943,20701,16306,9665,3944,3576,4923,7831,12188,17098,20093,22554,22803,23785,21814,20309,21482,24137,17721,16188,13623,17928,16026
2012-01-23,9071,5047,3370,2364,2378,3821,10810,19621,24391,23066,20029,19034,19612,18181,20852,19759,19154,23573,26835,25931,22818,19320,17065,12306
2012-01-24,8472,4787,2942,2218,1967,3504,10478,20640,25921,23738,19538,19389,20194,19117,20923,20957,18037,21275,26935,27338,26487,25392,22479,16438
2012-01-25,10482,6387,4119,2658,2312,3533,10637,20901,26373,24663,20687,19563,20633,20260,21536,21511,18009,23073,28889,30332,28287,27338,25103,19460
2012-01-26,12265,7577,4699,3018,2760,3881,11210,20875,26382,24206,20691,20746,23306,22254,23898,22023,17991,22339,28353,31754,29023,28664,28039,23397
2012-01-27,15991,10509,6828,4809,3796,3940,10297,21159,25808,24226,23409,20115,21202,20099,21820,19417,17365,22069,27667,30928,29952,28238,29353,29613
2012-01-28,26849,23349,19800,15518,9695,4573,4061,6375,11116,15017,18110,20323,22421,23158,22104,22925,20636,22990,27854,29670,27975,27215,29437,30236
2012-01-29,28731,26131,22319,18511,11301,4424,3984,5013,8684,12661,16665,19490,22239,22553,21985,21155,19785,20342,22713,20227,17497,16640,14826,11315
2012-01-30,7631,4414,2971,2242,2329,3938,10973,20112,25110,22898,19532,18743,20208,18886,20654,20600,18530,22660,27597,26704,24563,22754,19006,13811
2012-01-31,8814,5057,3267,2271,1924,3473,11144,21339,26351,25009,20733,19735,20235,20174,21238,20876,17565,21735,26517,27318,25353,25169,22576,16346
2012-02-01,12458,7196,4713,3454,2756,4226,12720,23220,28397,26894,22435,21547,22650,22002,22199,22055,18299,21903,29790,29264,29547,28968,27176,20831
2012-02-02,13864,8291,5333,3657,3027,4131,11586,23375,28167,26095,22897,21276,21498,22468,24886,23612,20194,25409,31937,33482,32713,29588,30320,27322
2012-02-03,19141,13142,8599,5699,4465,4769,12076,23894,28388,26346,24097,23546,23987,23861,25864,24129,20919,24718,32450,35235,34354,33262,33031,33676
2012-02-04,30696,26846,22454,17051,10570,4913,4941,6995,11348,16866,20387,23299,25085,25651,24899,25016,22392,24950,29965,31884,27605,25752,32154,33547
2012-02-05,31012,28075,25386,18652,11418,4565,3818,5019,8123,12213,16670,18867,22246,22687,22611,22331,23228,27679,28173,16971,15606,14076,26915,21548
2012-02-06,14164,7918,4547,2864,2964,4539,11509,19049,24579,24629,20979,18751,19294,17220,19788,21667,21795,25541,31050,30978,26583,23645,20405,13821
2012-02-07,8986,5101,3184,1968,2000,3788,12035,22600,28190,26099,21982,19073,21214,21692,23607,23230,20431,24957,30317,30545,30823,29085,24737,18193
2012-02-08,12023,7557,4349,2964,2570,3721,11222,23964,28812,26582,22535,20632,23494,23487,23930,23797,19984,22627,30042,30423,31302,28587,25190,20865
2012-02-09,13070,7332,4973,3127,2629,3630,11311,22153,26374,25572,22066,22282,21947,21697,24561,23284,19983,25133,32689,34022,31864,31677,30423,26091
2012-02-10,19512,12515,8333,5788,4599,4807,11155,21003,26626,24492,22772,21388,22825,22625,23926,22698,18995,23328,29656,32301,32208,32237,31866,31458
2012-02-11,28728,25645,21476,15604,9481,4512,5117,7126,11569,18119,21766,24187,25495,27213,27008,27116,25572,29017,34154,36217,33451,31984,33943,33670
2012-02-12,31000,28338,24576,18729,11892,5120,4543,5567,9044,14407,19973,24116,26187,26412,26449,24378,22662,24151,27381,25623,21280,19481,17573,14278
2012-02-13,8375,5050,3447,2118,2269,3988,11169,20954,25104,23927,20399,19759,20756,20292,22176,22182,19724,23889,29095,28604,26013,23957,21565,15976
2012-02-14,9921,6086,3648,2338,2206,3625,11039,21427,26019,24537,21347,21199,22140,22052,22937,22128,18083,22290,28161,29491,28645,28822,24959,21918
2012-02-15,15542,9240,6075,3877,3128,4214,11078,21120,25479,24198,21236,20935,21402,20833,22460,20950,17205,21327,27177,28099,27793,26443,24616,19506
2012-02-16,12955,7921,5055,3766,2931,3949,10958,20607,24661,23343,20589,21725,24094,22846,22924,20437,16342,20460,26534,28256,27783,26283,25233,22186
2012-02-17,16000,10603,7346,5048,4163,4372,10045,18896,23366,21990,19909,19759,20379,19997,21475,19497,16079,20484,25774,28137,26005,25429,26892,26384
2012-02-18,24104,21033,18287,13927,9146,4434,4675,6036,8572,12615,15622,17664,19844,20965,21222,20433,18027,20272,26084,28482,25332,24786,26565,27391
2012-02-19,25409,22619,19803,15827,10134,4358,3695,4154,6218,9706,13646,17488,20339,19680,19640,18368,17830,18964,21373,21290,19251,18393,18826,17300
2012-02-20,16147,12121,8804,6461,4389,3377,5082,7553,12524,15350,17052,18735,20479,20692,21607,21683,20243,22962,26388,25040,21233,19620,19347,14010
2012-02-21,9176,5294,3212,2157,2110,3935,11130,19804,25516,24941,21357,20081,21319,20998,22395,21836,19189,23192,29434,29446,27209,26094,23361,17380
2012-02-22,11459,7136,4480,2959,2665,3814,11036,20756,26838,25336,21936,21012,21726,21443,22443,21992,18984,22922,29523,30063,28508,27727,25963,19632
2012-02-23,13522,8383,5235,3739,2939,3817,10988,20807,26305,25142,22047,21548,23023,22168,23913,22659,19027,23179,29667,32284,30924,30631,28749,24997
2012-02-24,18988,12353,8847,5964,4321,4905,11261,20797,25962,26796,24350,22364,23790,23610,24749,22398,18397,23195,29263,32297,29424,28597,29469,29625
2012-02-25,27715,23996,20448,15438,9709,4832,5684,6965,10846,15832,19314,21900,24602,25959,25027,25117,22371,26029,31220,32728,31103,30730,33075,33397
2012-02-26,30704,26866,23696,18738,11622,5048,4366,5207,7987,12675,17586,20820,22975,23029,23001,21587,20426,21752,24201,22650,17722,15390,15228,15460
2012-02-27,11106,4853,3081,2153,2235,4088,11397,21516,25879,24039,19301,18377,19186,18421,20380,20645,18225,22154,25506,25391,23018,21584,18622,13241
2012-02-28,8590,5240,3475,2226,2039,3648,10771,21113,26258,24179,20676,20263,20605,20388,21934,21548,19017,23845,30155,31038,29593,28230,24622,19815
2012-02-29,12350,6851,4469,3017,2637,4088,12332,23161,28627,26800,23040,23743,26364,24120,25053,22748,18446,22329,28039,30374,29361,28664,27035,20851
2012-03-01,15932,8856,5673,3854,3268,4556,13437,25595,30390,29305,25629,24207,25645,25120,27152,25806,20109,24260,30103,34130,32820,30625,31299,28788
2012-03-02,22219,14097,9560,6238,4829,5043,12776,24454,30263,28584,25383,25496,27002,26832,28443,26074,21771,27198,33338,36264,36203,36559,35685,34111
2012-03-03,29552,25156,21388,15683,9974,5028,5159,7464,12773,20506,23321,24819,26519,27497,25860,25789,23411,26991,32294,34541,32534,32214,34308,34888
2012-03-04,32181,28193,24729,19953,12921,5738,4843,6206,9475,14695,20462,24270,26578,26894,27345,25507,23510,24877,26997,25054,21873,20703,18613,14378
2012-03-05,9837,5694,3590,2586,2713,4670,13201,23828,28184,26868,22540,21744,22953,22299,24523,24608,22545,28245,33855,33866,30997,29104,25919,18466
2012-03-06,11582,6655,4030,2577,2496,4226,13262,25144,30424,29084,25036,24195,24802,24084,26480,25369,22200,28160,34301,35117,33261,32254,28227,22157
2012-03-07,14349,8294,5021,3413,2889,4351,13094,25485,30380,28481,25093,24472,25683,24904,26815,25269,20778,26715,33708,35606,33840,32617,30298,24865
2012-03-08,16583,10174,6200,4028,3622,4771,13130,25104,30209,28794,25749,25892,26191,25546,27225,25399,21223,26640,33329,35498,34996,34248,33305,29716
2012-03-09,23577,17160,10725,7020,5051,5198,13015,24781,30050,28748,26449,26219,26644,26612,28942,25465,21280,26050,32680,36506,35540,34874,35916,35487
2012-03-10,31710,27712,23731,17905,10909,5313,6165,8353,13197,19749,23933,26759,29165,28935,28298,26933,23389,27288,33288,35569,34037,32123,34444,35128
2012-03-11,32606,28971,0,27223,16996,9109,6126,6445,8853,13787,19449,23689,25777,25428,25729,23905,21588,22800,25245,24157,21544,20117,18410,14098
2012-03-12,10393,6515,4250,2946,3071,4689,12012,22484,27385,25821,21891,20964,21538,21313,23331,23434,20603,25039,30687,30607,27422,24397,22373,18347
2012-03-13,11741,6959,4366,3035,2715,4222,12044,23891,30134,29002,24214,23827,24306,23466,25310,24465,20829,25928,32434,32047,30145,29225,26804,21328
2012-03-14,14456,8794,5801,3847,3378,4365,12081,24210,29563,27591,24184,23866,25229,23908,25421,24623,20082,25025,32045,35282,33976,31999,29938,24765
2012-03-15,17132,10472,6528,4373,3650,4514,12464,24740,30825,29352,26264,25615,26553,25877,27976,26165,21363,27236,34001,35766,34833,34592,32779,28736
2012-03-16,22242,14030,9599,6441,4942,4927,12204,23569,29882,28932,27096,26564,26205,25082,27336,25164,21065,25988,32489,35210,34484,33082,33603,33177
2012-03-17,31103,26113,21186,15880,10392,4966,5210,7519,11650,16581,20302,23563,26331,26983,26944,26706,23153,26855,34295,35687,35268,34575,34192,33661
2012-03-18,31940,27197,23142,17977,12069,6023,7581,6488,9194,13554,19134,22578,24727,24423,23864,22391,21349,23327,24311,23794,21747,20074,18110,14171
2012-03-19,10059,6232,4069,2782,2899,4654,12373,21401,26397,25638,21542,20477,21132,20817,22467,22107,20052,24128,29091,29173,26491,24904,22260,15226
2012-03-20,10899,6833,3842,2635,2444,3867,11850,22367,28495,27016,23074,21806,23423,22414,24162,22920,20329,25349,32392,32190,30584,29705,27499,20785
2012-03-21,13944,8483,5211,3431,2895,4275,12333,24191,29227,28692,24458,23250,24364,23682,24831,23805,20661,26098,32790,33353,32181,31360,30009,23766
2012-03-22,16384,9595,6204,3861,3304,4257,12106,22964,29379,28952,24413,23379,25257,24503,26137,24642,20669,25401,33037,35215,34166,33987,32740,29567
2012-03-23,23998,15941,12151,7356,5034,4765,11796,21928,28792,27866,24489,24105,25055,24525,26826,24813,20700,26296,33927,36155,34346,33407,34027,32655
2012-03-24,30953,27150,22817,17324,10866,5016,5613,7718,12539,18058,20724,23071,25495,26159,25918,26182,23266,25603,31904,33942,32067,31197,35003,35222
2012-03-25,32280,28414,25034,20044,12354,5563,4857,5915,9414,14869,19893,24069,25918,25844,25563,23821,21244,23421,24262,23787,21531,19336,17325,15838
2012-03-26,10472,6425,4075,2645,2917,4455,12119,21370,26684,26145,21832,21212,22218,22744,24004,23389,21749,27056,33729,33913,31548,29684,26822,18702
2012-03-27,12123,7004,4048,2544,2471,4122,12779,23990,30009,28861,25072,24046,24742,23960,24856,23984,20741,26041,32659,32995,31484,30931,28458,20967
2012-03-28,14622,8321,5101,3554,2951,4405,12718,23242,29386,28830,24023,23571,26169,28257,24627,22778,20137,25631,32256,33743,31909,32132,30362,23105
2012-03-29,16438,9918,6156,4111,3485,4485,12476,23504,29285,28197,24933,24212,25840,25088,26320,24675,20336,25472,33152,35452,35378,34769,33749,29461
2012-03-30,22791,15521,10522,6814,5184,5022,12506,22944,28890,28211,25123,24733,25404,24613,25944,23978,20150,25397,33062,36156,35828,34477,35020,34680
2012-03-31,32326,27956,22643,17887,10819,4996,5542,8240,12648,19337,23941,26808,29142,29547,28012,27720,24402,28177,33491,34476,32621,31510,34097,35635
2012-04-01,31277,28361,23739,19913,12138,5146,4882,6026,9355,14183,18979,21778,23969,25404,25514,23797,20883,24094,26582,24249,20676,18784,18016,15156
2012-04-02,10320,5776,3671,2597,2726,4456,12774,21289,25678,24492,20351,20369,22412,21441,21919,22914,19249,22540,30785,28451,27702,25247,21801,16337
2012-04-03,11030,7023,4314,2891,2680,4061,11762,22336,27688,25634,21806,20881,22042,23686,22004,21830,18628,22714,28776,30173,27905,26204,24615,18571
2012-04-04,12594,7367,4414,3090,2602,3702,10904,21398,25433,24968,22014,20476,21434,21941,22210,20852,16525,22371,27122,27488,27037,27021,25877,22607
2012-04-05,14280,9137,5469,3584,3006,3798,10939,21480,24711,23048,21665,21361,23326,22239,23618,20421,16902,18810,24992,28963,30064,30216,30204,28527
2012-04-06,24237,17256,12473,8737,6001,4490,8486,13093,20769,23449,22644,22931,23396,23048,23997,22143,18715,24211,28219,29339,27063,27326,28699,29325
2012-04-07,26802,21453,17857,13832,9483,4491,4447,6616,9153,14134,17213,19919,20602,23099,22508,22323,20017,22658,25636,26679,23619,24964,27361,26463
2012-04-08,24868,20611,16974,13763,9488,4147,3622,4608,7341,11310,17389,18761,21137,19910,19639,17193,17082,17359,18731,18311,17797,17524,16062,12067
2012-04-09,8592,5094,3386,2351,2291,3427,8768,17568,21184,21030,18124,17374,18659,19507,18703,18762,17840,19651,24291,27346,21809,20689,21063,14797
2012-04-10,10326,6385,3912,2695,2453,3408,9013,19528,24299,24378,21920,21001,24111,22684,24616,22677,18619,24658,30445,30833,28353,27890,24920,20788
2012-04-11,13182,7375,4553,3181,2899,3993,11642,20822,26092,24965,22347,21359,22605,21726,23095,21526,17609,21648,27108,29268,28203,28065,26492,22195
2012-04-12,15013,8538,5394,3806,3063,4063,11188,20003,25543,24423,22041,21254,23736,22636,23128,21364,17005,22274,28392,30548,30275,28919,29045,25550
2012-04-13,19659,13003,8978,6390,4553,4550,10412,19631,25048,24481,22308,22067,22660,21872,23008,21938,17720,21741,28795,31869,29857,31726,30627,29933
2012-04-14,27686,25469,20655,15748,10684,4947,5513,7847,11627,17236,20462,23993,24993,25201,24548,23305,20813,23172,29032,30732,29877,29595,32282,32036
2012-04-15,28936,26921,23421,19183,11995,5563,5126,7106,8806,13760,19666,21933,23770,24016,22708,22598,18665,20307,23034,21655,19775,18162,16767,13589
2012-04-16,9482,5875,3808,2582,2624,4453,11696,20712,24390,23572,20719,20302,21350,20856,22333,22424,19591,23697,28513,27623,25882,23470,21212,15356
2012-04-17,10386,6166,4138,2622,2421,4060,11951,22453,26538,25005,22543,21597,22342,22144,23774,22804,19607,23982,29797,29918,28815,27951,25942,22258
2012-04-18,14092,8291,4989,3332,2918,4231,12167,23343,27955,26218,23177,22769,23518,23432,25472,23635,19493,23753,30630,31871,31360,29715,28911,23457
2012-04-19,15205,9395,5497,3576,3127,4302,12209,23057,27242,26880,22670,23185,23248,23140,23998,22468,18055,22207,30139,31963,31425,30958,30922,26982
2012-04-20,21225,14170,9678,6158,4859,4800,11867,21070,26617,25718,23112,23596,23980,23234,25203,22952,18322,23564,30084,33354,32769,31100,31641,29867
2012-04-21,26793,23494,20308,14229,9344,5061,5567,8247,11961,17060,20174,23694,24440,22927,25041,23010,21319,25167,30183,32114,30844,28247,30256,31877
2012-04-22,29819,25519,22533,17085,11011,4931,4350,6189,8644,14550,20722,25615,25725,25991,24779,23346,19148,21863,23437,23264,21372,19641,17724,13653
2012-04-23,9090,5232,3095,1958,2242,3971,11793,20758,23882,23075,20023,19667,20135,19490,21173,20638,17668,20520,24080,23571,24425,22881,20860,15458
2012-04-24,9839,5887,3699,2301,2217,3624,10917,20071,24195,22476,20137,19000,20614,19856,20441,20597,15926,19669,26463,26849,25552,23512,22364,18331
2012-04-25,10949,7049,4450,3164,2579,3529,9803,19946,21984,20101,18834,18552,18488,19134,20651,18849,15463,18804,24334,26408,25267,25349,27265,22841
2012-04-26,15478,9336,5982,3884,3166,4304,11831,21425,25960,24255,22174,21476,22812,22565,24148,21802,16149,19378,25810,28295,28032,27909,27367,25459
2012-04-27,19487,12941,8783,5735,4322,4375,11585,20515,24508,23380,21403,21026,21149,19910,21402,19559,15597,20093,26174,29020,28350,26569,28912,27923
2012-04-28,25387,21498,17932,13075,9163,4377,4572,6959,11413,15425,19004,20323,20602,19861,20142,18861,15602,18844,22319,24534,23337,22278,24704,24179
2012-04-29,21896,21489,17809,14342,10066,4700,3864,5226,7466,11351,15140,18887,19731,19681,20604,19080,17084,18867,20919,20183,19078,18017,17185,13025
2012-04-30,8598,5077,3513,2366,2426,3876,10241,18067,21030,20142,17723,18122,19206,19132,22461,22523,19383,24362,31403,28896,27551,26993,22379,17159
